region,regionGSSCode,period,Sales volume,reportingPeriod,avgPrice,date
North East,E12000001,2015-01,2417,monthly,117156,01/01/2015
South East,E12000008,2015-01,10936,monthly,264848,01/01/2015
South West,E12000009,2015-01,6613,monthly,212878,01/01/2015
West Midlands Region,E12000005,2015-01,4976,monthly,158683,01/01/2015
London,E12000007,2015-02,7937,monthly,404773,01/02/2015
North East,E12000001,2015-02,2290,monthly,118525,01/02/2015
South East,E12000008,2015-02,10909,monthly,264568,01/02/2015
South West,E12000009,2015-02,6543,monthly,210050,01/02/2015
West Midlands Region,E12000005,2015-02,5487,monthly,160388,01/02/2015
London,E12000007,2015-03,8847,monthly,404706,01/03/2015
North East,E12000001,2015-03,2829,monthly,117578,01/03/2015
South East,E12000008,2015-03,11739,monthly,265090,01/03/2015
South West,E12000009,2015-03,7558,monthly,212109,01/03/2015
West Midlands Region,E12000005,2015-03,6160,monthly,159293,01/03/2015
London,E12000007,2015-04,8323,monthly,410445,01/04/2015
North East,E12000001,2015-04,2718,monthly,121598,01/04/2015
South East,E12000008,2015-04,11596,monthly,268550,01/04/2015
South West,E12000009,2015-04,7557,monthly,214541,01/04/2015
West Midlands Region,E12000005,2015-04,5602,monthly,161813,01/04/2015
London,E12000007,2015-05,9059,monthly,415817,01/05/2015
North East,E12000001,2015-05,3303,monthly,120610,01/05/2015
South East,E12000008,2015-05,12900,monthly,271147,01/05/2015
South West,E12000009,2015-05,8517,monthly,215498,01/05/2015
West Midlands Region,E12000005,2015-05,7026,monthly,162631,01/05/2015
London,E12000007,2015-06,10721,monthly,419474,01/06/2015
North East,E12000001,2015-06,3735,monthly,122584,01/06/2015
South East,E12000008,2015-06,15232,monthly,275224,01/06/2015
South West,E12000009,2015-06,10048,monthly,217582,01/06/2015
West Midlands Region,E12000005,2015-06,7460,monthly,164404,01/06/2015
London,E12000007,2015-07,11980,monthly,431644,01/07/2015
North East,E12000001,2015-07,3739,monthly,122669,01/07/2015
South East,E12000008,2015-07,16491,monthly,279875,01/07/2015
South West,E12000009,2015-07,10642,monthly,220044,01/07/2015
West Midlands Region,E12000005,2015-07,8374,monthly,166016,01/07/2015
London,E12000007,2015-08,10499,monthly,436152,01/08/2015
North East,E12000001,2015-08,3198,monthly,123621,01/08/2015
South East,E12000008,2015-08,15511,monthly,283369,01/08/2015
South West,E12000009,2015-08,9970,monthly,223210,01/08/2015
West Midlands Region,E12000005,2015-08,7532,monthly,167862,01/08/2015
London,E12000007,2015-09,10686,monthly,439729,01/09/2015
North East,E12000001,2015-09,3289,monthly,123304,01/09/2015
South East,E12000008,2015-09,15052,monthly,284374,01/09/2015
South West,E12000009,2015-09,9895,monthly,224435,01/09/2015
West Midlands Region,E12000005,2015-09,7428,monthly,167590,01/09/2015
London,E12000007,2015-10,10926,monthly,440484,01/10/2015
North East,E12000001,2015-10,3582,monthly,121512,01/10/2015
South East,E12000008,2015-10,16502,monthly,286452,01/10/2015
South West,E12000009,2015-10,10353,monthly,224226,01/10/2015
West Midlands Region,E12000005,2015-10,8479,monthly,167550,01/10/2015
London,E12000007,2015-11,9752,monthly,445485,01/11/2015
North East,E12000001,2015-11,3403,monthly,123032,01/11/2015
South East,E12000008,2015-11,14653,monthly,288509,01/11/2015
South West,E12000009,2015-11,9283,monthly,226490,01/11/2015
West Midlands Region,E12000005,2015-11,7658,monthly,168871,01/11/2015
London,E12000007,2015-12,9700,monthly,450053,01/12/2015
North East,E12000001,2015-12,3351,monthly,123597,01/12/2015
South East,E12000008,2015-12,14723,monthly,291298,01/12/2015
South West,E12000009,2015-12,9766,monthly,226855,01/12/2015
West Midlands Region,E12000005,2015-12,7671,monthly,169286,01/12/2015
London,E12000007,2016-01,7927,monthly,457466,01/01/2016
North East,E12000001,2016-01,2451,monthly,121096,01/01/2016
South East,E12000008,2016-01,11281,monthly,293678,01/01/2016
South West,E12000009,2016-01,7182,monthly,226547,01/01/2016
West Midlands Region,E12000005,2016-01,5565,monthly,169747,01/01/2016
London,E12000007,2016-02,8208,monthly,457759,01/02/2016
North East,E12000001,2016-02,2627,monthly,121085,01/02/2016
South East,E12000008,2016-02,11988,monthly,295613,01/02/2016
South West,E12000009,2016-02,8027,monthly,227523,01/02/2016
West Midlands Region,E12000005,2016-02,6160,monthly,168691,01/02/2016
London,E12000007,2016-03,17501,monthly,464647,01/03/2016
North East,E12000001,2016-03,4535,monthly,122837,01/03/2016
South East,E12000008,2016-03,21531,monthly,300201,01/03/2016
South West,E12000009,2016-03,14439,monthly,233607,01/03/2016
West Midlands Region,E12000005,2016-03,11240,monthly,169300,01/03/2016
London,E12000007,2016-04,5746,monthly,461068,01/04/2016
North East,E12000001,2016-04,2381,monthly,122481,01/04/2016
South East,E12000008,2016-04,9325,monthly,297712,01/04/2016
South West,E12000009,2016-04,5901,monthly,227636,01/04/2016
West Midlands Region,E12000005,2016-04,5303,monthly,172955,01/04/2016
London,E12000007,2016-05,6617,monthly,467485,01/05/2016
North East,E12000001,2016-05,2756,monthly,124696,01/05/2016
South East,E12000008,2016-05,10633,monthly,301202,01/05/2016
South West,E12000009,2016-05,7144,monthly,231318,01/05/2016
West Midlands Region,E12000005,2016-05,6027,monthly,174741,01/05/2016
London,E12000007,2016-06,8464,monthly,468120,01/06/2016
North East,E12000001,2016-06,3499,monthly,126898,01/06/2016
South East,E12000008,2016-06,13226,monthly,305125,01/06/2016
South West,E12000009,2016-06,9089,monthly,233700,01/06/2016
West Midlands Region,E12000005,2016-06,7231,monthly,176729,01/06/2016
London,E12000007,2016-07,8794,monthly,475530,01/07/2016
North East,E12000001,2016-07,3511,monthly,127710,01/07/2016
South East,E12000008,2016-07,14114,monthly,309069,01/07/2016
South West,E12000009,2016-07,9342,monthly,235665,01/07/2016
West Midlands Region,E12000005,2016-07,7505,monthly,176943,01/07/2016
London,E12000007,2016-08,8535,monthly,471957,01/08/2016
North East,E12000001,2016-08,3241,monthly,126116,01/08/2016
South East,E12000008,2016-08,14632,monthly,309981,01/08/2016
South West,E12000009,2016-08,9821,monthly,236832,01/08/2016
West Midlands Region,E12000005,2016-08,8011,monthly,178960,01/08/2016
London,E12000007,2016-09,8275,monthly,471767,01/09/2016
North East,E12000001,2016-09,3370,monthly,124781,01/09/2016
South East,E12000008,2016-09,13617,monthly,307429,01/09/2016
South West,E12000009,2016-09,9276,monthly,237148,01/09/2016
West Midlands Region,E12000005,2016-09,7692,monthly,178837,01/09/2016
London,E12000007,2016-10,8100,monthly,471008,01/10/2016
North East,E12000001,2016-10,3061,monthly,124213,01/10/2016
South East,E12000008,2016-10,12356,monthly,307992,01/10/2016
South West,E12000009,2016-10,8873,monthly,235617,01/10/2016
West Midlands Region,E12000005,2016-10,6992,monthly,177065,01/10/2016
London,E12000007,2016-11,8178,monthly,470854,01/11/2016
North East,E12000001,2016-11,3366,monthly,124910,01/11/2016
South East,E12000008,2016-11,12669,monthly,307867,01/11/2016
South West,E12000009,2016-11,9086,monthly,237150,01/11/2016
West Midlands Region,E12000005,2016-11,7393,monthly,179248,01/11/2016
London,E12000007,2016-12,8460,monthly,472374,01/12/2016
North East,E12000001,2016-12,3661,monthly,126333,01/12/2016
South East,E12000008,2016-12,14140,monthly,309185,01/12/2016
South West,E12000009,2016-12,9921,monthly,236288,01/12/2016
West Midlands Region,E12000005,2016-12,7930,monthly,179668,01/12/2016
London,E12000007,2017-01,6931,monthly,475619,01/01/2017
North East,E12000001,2017-01,2581,monthly,122055,01/01/2017
South East,E12000008,2017-01,10227,monthly,312895,01/01/2017
South West,E12000009,2017-01,6958,monthly,238829,01/01/2017
West Midlands Region,E12000005,2017-01,5663,monthly,178494,01/01/2017
London,E12000007,2017-02,7108,monthly,476717,01/02/2017
North East,E12000001,2017-02,2701,monthly,124088,01/02/2017
South East,E12000008,2017-02,10887,monthly,310033,01/02/2017
South West,E12000009,2017-02,7145,monthly,239143,01/02/2017
West Midlands Region,E12000005,2017-02,6037,monthly,179530,01/02/2017
London,E12000007,2017-03,8659,monthly,475442,01/03/2017
North East,E12000001,2017-03,3530,monthly,121858,01/03/2017
South East,E12000008,2017-03,12670,monthly,310447,01/03/2017
South West,E12000009,2017-03,8763,monthly,238248,01/03/2017
West Midlands Region,E12000005,2017-03,7552,monthly,179542,01/03/2017
London,E12000007,2017-04,7120,monthly,479790,01/04/2017
North East,E12000001,2017-04,3011,monthly,124897,01/04/2017
South East,E12000008,2017-04,11007,monthly,313583,01/04/2017
South West,E12000009,2017-04,7470,monthly,240489,01/04/2017
West Midlands Region,E12000005,2017-04,6032,monthly,181411,01/04/2017
London,E12000007,2017-05,7874,monthly,480902,01/05/2017
North East,E12000001,2017-05,3088,monthly,127074,01/05/2017
South East,E12000008,2017-05,11895,monthly,315314,01/05/2017
South West,E12000009,2017-05,8279,monthly,242531,01/05/2017
West Midlands Region,E12000005,2017-05,6822,monthly,183199,01/05/2017
London,E12000007,2017-06,9192,monthly,480152,01/06/2017
North East,E12000001,2017-06,4245,monthly,128096,01/06/2017
South East,E12000008,2017-06,14680,monthly,318364,01/06/2017
South West,E12000009,2017-06,10186,monthly,245039,01/06/2017
West Midlands Region,E12000005,2017-06,8395,monthly,185214,01/06/2017
London,E12000007,2017-07,8494,monthly,488527,01/07/2017
North East,E12000001,2017-07,3452,monthly,127983,01/07/2017
South East,E12000008,2017-07,13952,monthly,321088,01/07/2017
South West,E12000009,2017-07,9322,monthly,248904,01/07/2017
West Midlands Region,E12000005,2017-07,7782,monthly,187219,01/07/2017
London,E12000007,2017-08,8921,monthly,487085,01/08/2017
North East,E12000001,2017-08,3486,monthly,129738,01/08/2017
South East,E12000008,2017-08,15084,monthly,323089,01/08/2017
South West,E12000009,2017-08,10281,monthly,250432,01/08/2017
West Midlands Region,E12000005,2017-08,8216,monthly,189271,01/08/2017
London,E12000007,2017-09,8239,monthly,483833,01/09/2017
North East,E12000001,2017-09,3562,monthly,127527,01/09/2017
South East,E12000008,2017-09,13696,monthly,322596,01/09/2017
South West,E12000009,2017-09,9403,monthly,249369,01/09/2017
West Midlands Region,E12000005,2017-09,7957,monthly,188232,01/09/2017
London,E12000007,2017-10,7990,monthly,481762,01/10/2017
North East,E12000001,2017-10,3537,monthly,128590,01/10/2017
South East,E12000008,2017-10,13422,monthly,322066,01/10/2017
South West,E12000009,2017-10,9426,monthly,250981,01/10/2017
West Midlands Region,E12000005,2017-10,7788,monthly,188849,01/10/2017
London,E12000007,2017-11,7629,monthly,476290,01/11/2017
North East,E12000001,2017-11,3661,monthly,127126,01/11/2017
South East,E12000008,2017-11,13141,monthly,320212,01/11/2017
South West,E12000009,2017-11,9494,monthly,249345,01/11/2017
West Midlands Region,E12000005,2017-11,7945,monthly,188640,01/11/2017
London,E12000007,2017-12,7883,monthly,476848,01/12/2017
North East,E12000001,2017-12,3664,monthly,130118,01/12/2017
South East,E12000008,2017-12,13223,monthly,320733,01/12/2017
South West,E12000009,2017-12,9462,monthly,249309,01/12/2017
West Midlands Region,E12000005,2017-12,7730,monthly,190466,01/12/2017
London,E12000007,2018-01,6584,monthly,479772,01/01/2018
North East,E12000001,2018-01,2523,monthly,124169,01/01/2018
South East,E12000008,2018-01,10093,monthly,320978,01/01/2018
South West,E12000009,2018-01,6722,monthly,252533,01/01/2018
West Midlands Region,E12000005,2018-01,5852,monthly,187845,01/01/2018
London,E12000007,2018-02,6386,monthly,477860,01/02/2018
North East,E12000001,2018-02,2535,monthly,126444,01/02/2018
South East,E12000008,2018-02,9950,monthly,321375,01/02/2018
South West,E12000009,2018-02,7110,monthly,250793,01/02/2018
West Midlands Region,E12000005,2018-02,6132,monthly,190682,01/02/2018
London,E12000007,2018-03,7350,monthly,472357,01/03/2018
North East,E12000001,2018-03,3213,monthly,124038,01/03/2018
South East,E12000008,2018-03,11783,monthly,319876,01/03/2018
South West,E12000009,2018-03,7734,monthly,250615,01/03/2018
West Midlands Region,E12000005,2018-03,7003,monthly,190077,01/03/2018
London,E12000007,2018-04,6511,monthly,477253,01/04/2018
North East,E12000001,2018-04,2867,monthly,128330,01/04/2018
South East,E12000008,2018-04,9781,monthly,321353,01/04/2018
South West,E12000009,2018-04,7058,monthly,250254,01/04/2018
West Midlands Region,E12000005,2018-04,5844,monthly,191375,01/04/2018
London,E12000007,2018-05,6980,monthly,478485,01/05/2018
North East,E12000001,2018-05,3301,monthly,128840,01/05/2018
South East,E12000008,2018-05,11436,monthly,321825,01/05/2018
South West,E12000009,2018-05,8038,monthly,251132,01/05/2018
West Midlands Region,E12000005,2018-05,6757,monthly,191299,01/05/2018
London,E12000007,2018-06,8135,monthly,479931,01/06/2018
North East,E12000001,2018-06,4050,monthly,128049,01/06/2018
South East,E12000008,2018-06,13779,monthly,324665,01/06/2018
South West,E12000009,2018-06,9476,monthly,252603,01/06/2018
West Midlands Region,E12000005,2018-06,8141,monthly,193886,01/06/2018
London,E12000007,2018-07,8303,monthly,484724,01/07/2018
North East,E12000001,2018-07,3460,monthly,131245,01/07/2018
South East,E12000008,2018-07,13184,monthly,327091,01/07/2018
South West,E12000009,2018-07,8792,monthly,256893,01/07/2018
West Midlands Region,E12000005,2018-07,7454,monthly,196297,01/07/2018
London,E12000007,2018-08,8975,monthly,479550,01/08/2018
North East,E12000001,2018-08,3935,monthly,130376,01/08/2018
South East,E12000008,2018-08,14793,monthly,328061,01/08/2018
South West,E12000009,2018-08,10305,monthly,258465,01/08/2018
West Midlands Region,E12000005,2018-08,8295,monthly,196757,01/08/2018
London,E12000007,2018-09,7636,monthly,476545,01/09/2018
North East,E12000001,2018-09,3115,monthly,130223,01/09/2018
South East,E12000008,2018-09,11992,monthly,327054,01/09/2018
South West,E12000009,2018-09,8137,monthly,258839,01/09/2018
West Midlands Region,E12000005,2018-09,7180,monthly,198120,01/09/2018
London,E12000007,2018-10,7956,monthly,480057,01/10/2018
North East,E12000001,2018-10,3560,monthly,130759,01/10/2018
South East,E12000008,2018-10,13093,monthly,324475,01/10/2018
South West,E12000009,2018-10,9362,monthly,256898,01/10/2018
West Midlands Region,E12000005,2018-10,7895,monthly,197972,01/10/2018
London,E12000007,2018-11,8130,monthly,474347,01/11/2018
North East,E12000001,2018-11,3829,monthly,128894,01/11/2018
South East,E12000008,2018-11,13696,monthly,323266,01/11/2018
South West,E12000009,2018-11,9595,monthly,256928,01/11/2018
West Midlands Region,E12000005,2018-11,8943,monthly,196446,01/11/2018
London,E12000007,2018-12,6957,monthly,473252,01/12/2018
North East,E12000001,2018-12,3358,monthly,128696,01/12/2018
South East,E12000008,2018-12,11914,monthly,321118,01/12/2018
South West,E12000009,2018-12,8447,monthly,256577,01/12/2018
West Midlands Region,E12000005,2018-12,7365,monthly,198469,01/12/2018
London,E12000007,2019-01,6031,monthly,470067,01/01/2019
North East,E12000001,2019-01,2538,monthly,125448,01/01/2019
South East,E12000008,2019-01,9325,monthly,322226,01/01/2019
South West,E12000009,2019-01,6526,monthly,254632,01/01/2019
West Midlands Region,E12000005,2019-01,5458,monthly,195498,01/01/2019
London,E12000007,2019-02,5967,monthly,466068,01/02/2019
North East,E12000001,2019-02,2617,monthly,124533,01/02/2019
South East,E12000008,2019-02,9410,monthly,320095,01/02/2019
South West,E12000009,2019-02,6476,monthly,255243,01/02/2019
West Midlands Region,E12000005,2019-02,6023,monthly,197368,01/02/2019
London,E12000007,2019-03,6875,monthly,464162,01/03/2019
North East,E12000001,2019-03,3337,monthly,124666,01/03/2019
South East,E12000008,2019-03,10703,monthly,317129,01/03/2019
South West,E12000009,2019-03,7615,monthly,253051,01/03/2019
West Midlands Region,E12000005,2019-03,6870,monthly,195058,01/03/2019
London,E12000007,2019-04,6063,monthly,469537,01/04/2019
North East,E12000001,2019-04,2807,monthly,128863,01/04/2019
South East,E12000008,2019-04,10174,monthly,318912,01/04/2019
South West,E12000009,2019-04,6983,monthly,252921,01/04/2019
West Midlands Region,E12000005,2019-04,6227,monthly,195476,01/04/2019
London,E12000007,2019-05,6815,monthly,463628,01/05/2019
North East,E12000001,2019-05,3338,monthly,128851,01/05/2019
South East,E12000008,2019-05,11063,monthly,318250,01/05/2019
South West,E12000009,2019-05,7763,monthly,252527,01/05/2019
West Midlands Region,E12000005,2019-05,6883,monthly,197002,01/05/2019
London,E12000007,2019-06,6991,monthly,470519,01/06/2019
North East,E12000001,2019-06,3628,monthly,129511,01/06/2019
South East,E12000008,2019-06,11537,monthly,320835,01/06/2019
South West,E12000009,2019-06,8057,monthly,252692,01/06/2019
West Midlands Region,E12000005,2019-06,7130,monthly,196679,01/06/2019
London,E12000007,2019-07,8275,monthly,478505,01/07/2019
North East,E12000001,2019-07,3467,monthly,129844,01/07/2019
South East,E12000008,2019-07,12874,monthly,322549,01/07/2019
South West,E12000009,2019-07,8596,monthly,258177,01/07/2019
West Midlands Region,E12000005,2019-07,7185,monthly,197675,01/07/2019
London,E12000007,2019-08,8797,monthly,472729,01/08/2019
North East,E12000001,2019-08,3708,monthly,131440,01/08/2019
South East,E12000008,2019-08,14003,monthly,322720,01/08/2019
South West,E12000009,2019-08,9127,monthly,258322,01/08/2019
West Midlands Region,E12000005,2019-08,7863,monthly,200304,01/08/2019
London,E12000007,2019-09,7586,monthly,477146,01/09/2019
North East,E12000001,2019-09,3252,monthly,131917,01/09/2019
South East,E12000008,2019-09,11931,monthly,323762,01/09/2019
South West,E12000009,2019-09,7938,monthly,258780,01/09/2019
West Midlands Region,E12000005,2019-09,6913,monthly,200466,01/09/2019
London,E12000007,2019-10,7901,monthly,472668,01/10/2019
North East,E12000001,2019-10,3444,monthly,129316,01/10/2019
South East,E12000008,2019-10,12908,monthly,322285,01/10/2019
South West,E12000009,2019-10,8781,monthly,258647,01/10/2019
West Midlands Region,E12000005,2019-10,7749,monthly,199973,01/10/2019
London,E12000007,2019-11,7833,monthly,468757,01/11/2019
North East,E12000001,2019-11,3904,monthly,129493,01/11/2019
South East,E12000008,2019-11,13231,monthly,322200,01/11/2019
South West,E12000009,2019-11,9101,monthly,256540,01/11/2019
West Midlands Region,E12000005,2019-11,7878,monthly,200095,01/11/2019
London,E12000007,2019-12,7107,monthly,479153,01/12/2019
North East,E12000001,2019-12,3370,monthly,129310,01/12/2019
South East,E12000008,2019-12,12615,monthly,321278,01/12/2019
South West,E12000009,2019-12,8489,monthly,256349,01/12/2019
West Midlands Region,E12000005,2019-12,7270,monthly,198301,01/12/2019
London,E12000007,2020-01,6527,monthly,475948,01/01/2020
North East,E12000001,2020-01,2733,monthly,127346,01/01/2020
South East,E12000008,2020-01,9742,monthly,321704,01/01/2020
South West,E12000009,2020-01,6566,monthly,257494,01/01/2020
West Midlands Region,E12000005,2020-01,5692,monthly,201060,01/01/2020
London,E12000007,2020-02,6465,monthly,474480,01/02/2020
North East,E12000001,2020-02,2604,monthly,126993,01/02/2020
South East,E12000008,2020-02,9889,monthly,318182,01/02/2020
South West,E12000009,2020-02,6465,monthly,256208,01/02/2020
West Midlands Region,E12000005,2020-02,5674,monthly,198974,01/02/2020
London,E12000007,2020-03,6842,monthly,482605,01/03/2020
North East,E12000001,2020-03,2623,monthly,128306,01/03/2020
South East,E12000008,2020-03,10166,monthly,323167,01/03/2020
South West,E12000009,2020-03,6818,monthly,259458,01/03/2020
West Midlands Region,E12000005,2020-03,5554,monthly,199637,01/03/2020
London,E12000007,2020-04,3206,monthly,476159,01/04/2020
North East,E12000001,2020-04,1003,monthly,123222,01/04/2020
South East,E12000008,2020-04,4138,monthly,325154,01/04/2020
South West,E12000009,2020-04,2467,monthly,256514,01/04/2020
West Midlands Region,E12000005,2020-04,2290,monthly,195075,01/04/2020
London,E12000007,2020-05,2929,monthly,473225,01/05/2020
North East,E12000001,2020-05,1557,monthly,127999,01/05/2020
South East,E12000008,2020-05,5049,monthly,320817,01/05/2020
South West,E12000009,2020-05,3494,monthly,256208,01/05/2020
West Midlands Region,E12000005,2020-05,3216,monthly,200156,01/05/2020
London,E12000007,2020-06,4511,monthly,479969,01/06/2020
North East,E12000001,2020-06,2395,monthly,129666,01/06/2020
South East,E12000008,2020-06,7833,monthly,322024,01/06/2020
South West,E12000009,2020-06,5379,monthly,259382,01/06/2020
West Midlands Region,E12000005,2020-06,4649,monthly,201330,01/06/2020
London,E12000007,2020-07,5988,monthly,483830,01/07/2020
North East,E12000001,2020-07,2733,monthly,130778,01/07/2020
South East,E12000008,2020-07,9560,monthly,325748,01/07/2020
South West,E12000009,2020-07,6413,monthly,263582,01/07/2020
West Midlands Region,E12000005,2020-07,5449,monthly,203527,01/07/2020
London,E12000007,2020-08,6148,monthly,489424,01/08/2020
North East,E12000001,2020-08,2920,monthly,131543,01/08/2020
South East,E12000008,2020-08,9855,monthly,329417,01/08/2020
South West,E12000009,2020-08,6477,monthly,265158,01/08/2020
West Midlands Region,E12000005,2020-08,5471,monthly,205908,01/08/2020
London,E12000007,2020-09,7087,monthly,493205,01/09/2020
North East,E12000001,2020-09,3063,monthly,134794,01/09/2020
South East,E12000008,2020-09,11245,monthly,331926,01/09/2020
South West,E12000009,2020-09,7310,monthly,269727,01/09/2020
West Midlands Region,E12000005,2020-09,5769,monthly,207291,01/09/2020
London,E12000007,2020-10,8083,monthly,486212,01/10/2020
North East,E12000001,2020-10,3921,monthly,134715,01/10/2020
South East,E12000008,2020-10,13862,monthly,332489,01/10/2020
South West,E12000009,2020-10,9373,monthly,271744,01/10/2020
West Midlands Region,E12000005,2020-10,7473,monthly,208805,01/10/2020
London,E12000007,2020-11,7825,monthly,494552,01/11/2020
North East,E12000001,2020-11,3675,monthly,137358,01/11/2020
South East,E12000008,2020-11,13969,monthly,336738,01/11/2020
South West,E12000009,2020-11,9128,monthly,273200,01/11/2020
West Midlands Region,E12000005,2020-11,7174,monthly,210348,01/11/2020
London,E12000007,2020-12,9201,monthly,494193,01/12/2020
North East,E12000001,2020-12,3883,monthly,138980,01/12/2020
South East,E12000008,2020-12,15999,monthly,337686,01/12/2020
South West,E12000009,2020-12,10808,monthly,276477,01/12/2020
West Midlands Region,E12000005,2020-12,8128,monthly,213578,01/12/2020
London,E12000007,2021-01,7398,monthly,499115,01/01/2021
North East,E12000001,2021-01,2884,monthly,139236,01/01/2021
South East,E12000008,2021-01,12652,monthly,340552,01/01/2021
South West,E12000009,2021-01,7710,monthly,277271,01/01/2021
West Midlands Region,E12000005,2021-01,6059,monthly,213786,01/01/2021
