region,regionGSSCode,period,Sales volume,reportingPeriod,avgPrice,date
London,E12000007,2002-04,14025,monthly,178218,01/04/2002
North East,E12000001,2002-04,4531,monthly,58178,01/04/2002
South East,E12000008,2002-04,17711,monthly,141861,01/04/2002
South West,E12000009,2002-04,11365,monthly,115278,01/04/2002
West Midlands Region,E12000005,2002-04,9200,monthly,85464,01/04/2002
London,E12000007,2002-05,17735,monthly,182805,01/05/2002
North East,E12000001,2002-05,6280,monthly,60166,01/05/2002
South East,E12000008,2002-05,23418,monthly,146013,01/05/2002
South West,E12000009,2002-05,14506,monthly,118717,01/05/2002
West Midlands Region,E12000005,2002-05,12502,monthly,88015,01/05/2002
London,E12000007,2002-06,14368,monthly,186038,01/06/2002
North East,E12000001,2002-06,4696,monthly,60958,01/06/2002
South East,E12000008,2002-06,18724,monthly,149123,01/06/2002
South West,E12000009,2002-06,11439,monthly,122468,01/06/2002
West Midlands Region,E12000005,2002-06,9611,monthly,90683,01/06/2002
London,E12000007,2002-07,18061,monthly,191162,01/07/2002
North East,E12000001,2002-07,5572,monthly,63302,01/07/2002
South East,E12000008,2002-07,23206,monthly,153199,01/07/2002
South West,E12000009,2002-07,13959,monthly,126349,01/07/2002
West Midlands Region,E12000005,2002-07,11814,monthly,92437,01/07/2002
London,E12000007,2002-08,17567,monthly,195333,01/08/2002
North East,E12000001,2002-08,5792,monthly,65025,01/08/2002
South East,E12000008,2002-08,23217,monthly,157672,01/08/2002
South West,E12000009,2002-08,13671,monthly,129887,01/08/2002
West Midlands Region,E12000005,2002-08,11753,monthly,95134,01/08/2002
London,E12000007,2002-09,15091,monthly,197045,01/09/2002
North East,E12000001,2002-09,4805,monthly,64455,01/09/2002
South East,E12000008,2002-09,18618,monthly,159843,01/09/2002
South West,E12000009,2002-09,10765,monthly,132198,01/09/2002
West Midlands Region,E12000005,2002-09,9688,monthly,96813,01/09/2002
London,E12000007,2002-10,14509,monthly,199092,01/10/2002
North East,E12000001,2002-10,5024,monthly,66049,01/10/2002
South East,E12000008,2002-10,18736,monthly,162290,01/10/2002
South West,E12000009,2002-10,11469,monthly,135148,01/10/2002
West Midlands Region,E12000005,2002-10,10090,monthly,98653,01/10/2002
London,E12000007,2002-11,14324,monthly,202527,01/11/2002
North East,E12000001,2002-11,5654,monthly,68494,01/11/2002
South East,E12000008,2002-11,18555,monthly,164980,01/11/2002
South West,E12000009,2002-11,11644,monthly,137401,01/11/2002
West Midlands Region,E12000005,2002-11,10638,monthly,100767,01/11/2002
London,E12000007,2002-12,13443,monthly,203437,01/12/2002
North East,E12000001,2002-12,4946,monthly,69491,01/12/2002
South East,E12000008,2002-12,17777,monthly,166939,01/12/2002
South West,E12000009,2002-12,10747,monthly,138960,01/12/2002
West Midlands Region,E12000005,2002-12,9745,monthly,102749,01/12/2002
London,E12000007,2003-01,11365,monthly,207162,01/01/2003
North East,E12000001,2003-01,3888,monthly,67520,01/01/2003
South East,E12000008,2003-01,13737,monthly,169024,01/01/2003
South West,E12000009,2003-01,8507,monthly,141452,01/01/2003
West Midlands Region,E12000005,2003-01,7434,monthly,104468,01/01/2003
London,E12000007,2003-02,10320,monthly,206464,01/02/2003
North East,E12000001,2003-02,3762,monthly,68396,01/02/2003
South East,E12000008,2003-02,12777,monthly,169132,01/02/2003
South West,E12000009,2003-02,7695,monthly,140641,01/02/2003
West Midlands Region,E12000005,2003-02,7275,monthly,104109,01/02/2003
London,E12000007,2003-03,10600,monthly,205573,01/03/2003
North East,E12000001,2003-03,4296,monthly,71926,01/03/2003
South East,E12000008,2003-03,12762,monthly,170871,01/03/2003
South West,E12000009,2003-03,7973,monthly,143651,01/03/2003
West Midlands Region,E12000005,2003-03,7602,monthly,107284,01/03/2003
London,E12000007,2003-04,10380,monthly,207953,01/04/2003
North East,E12000001,2003-04,4386,monthly,75588,01/04/2003
South East,E12000008,2003-04,13692,monthly,172240,01/04/2003
South West,E12000009,2003-04,8786,monthly,145317,01/04/2003
West Midlands Region,E12000005,2003-04,7781,monthly,108791,01/04/2003
London,E12000007,2003-05,11169,monthly,210583,01/05/2003
North East,E12000001,2003-05,5214,monthly,77026,01/05/2003
South East,E12000008,2003-05,14970,monthly,173815,01/05/2003
South West,E12000009,2003-05,9136,monthly,147079,01/05/2003
West Midlands Region,E12000005,2003-05,8829,monthly,111250,01/05/2003
London,E12000007,2003-06,11990,monthly,208941,01/06/2003
North East,E12000001,2003-06,5226,monthly,78789,01/06/2003
South East,E12000008,2003-06,15071,monthly,175525,01/06/2003
South West,E12000009,2003-06,9537,monthly,148955,01/06/2003
West Midlands Region,E12000005,2003-06,9142,monthly,111828,01/06/2003
London,E12000007,2003-07,13468,monthly,213806,01/07/2003
North East,E12000001,2003-07,5504,monthly,82819,01/07/2003
South East,E12000008,2003-07,17457,monthly,177245,01/07/2003
South West,E12000009,2003-07,10928,monthly,151149,01/07/2003
West Midlands Region,E12000005,2003-07,9720,monthly,114213,01/07/2003
London,E12000007,2003-08,14417,monthly,212692,01/08/2003
North East,E12000001,2003-08,5600,monthly,84389,01/08/2003
South East,E12000008,2003-08,18329,monthly,177730,01/08/2003
South West,E12000009,2003-08,11956,monthly,151746,01/08/2003
West Midlands Region,E12000005,2003-08,10411,monthly,117481,01/08/2003
London,E12000007,2003-09,14741,monthly,212901,01/09/2003
North East,E12000001,2003-09,5293,monthly,84723,01/09/2003
South East,E12000008,2003-09,18160,monthly,176384,01/09/2003
South West,E12000009,2003-09,11524,monthly,152814,01/09/2003
West Midlands Region,E12000005,2003-09,9881,monthly,116867,01/09/2003
London,E12000007,2003-10,15741,monthly,214608,01/10/2003
North East,E12000001,2003-10,6148,monthly,87372,01/10/2003
South East,E12000008,2003-10,20081,monthly,179187,01/10/2003
